numero_arrete,date_signature,debut_validite_arrete,fin_validite_arrete,duree_jours
2023_TESCOU_12,2023-10-19,2023-10-21,2023-10-27,7.0
2023_THORE_ARN_NON-REALIMENTES_11,2023-10-19,2023-10-21,2023-10-27,7.0
2023_VERE_05,2023-10-19,2023-10-21,2023-10-27,7.0
2023_VERE_NON_REALIMENTEE_11,2023-10-19,2023-10-21,2023-10-27,7.0
2023_VIAUR_AVAL_REALIMENTE_06,2023-10-19,2023-10-21,2023-10-27,7.0
2023_VIAUR_AMONT_REALIMENTE_06,2023-10-19,2023-10-21,2023-10-27,7.0
2023_AFFLUENTS_VIAUR_06,2023-10-19,2023-10-21,2023-10-27,7.0
2023_AGROS_15,2023-10-19,2023-10-21,2023-10-27,7.0
2023_ASSOU_11,2023-10-19,2023-10-21,2023-10-27,7.0
2023_BAGAS_13,2023-10-19,2023-10-21,2023-10-27,7.0
2023_BERNAZOBRE_11,2023-10-19,2023-10-21,2023-10-27,7.0
2023_EN_GUIBAUD_13,2023-10-19,2023-10-21,2023-10-27,7.0
2023_DOURDOU_14,2023-10-19,2023-10-21,2023-10-27,7.0
2023_RANCE_13,2023-10-19,2023-10-21,2023-10-27,7.0
2023_DURENQUE_07,2023-10-19,2023-10-21,2023-10-27,7.0
2023_GIROU_11,2023-10-19,2023-10-21,2023-10-27,7.0
41-2023-10-19-00001,2023-10-19,2023-10-20,2023-11-03,15.0
 DDT/SEER/2023-053,2023-10-20,2023-10-21,2023-10-31,11.0
Copie de 20231011_AP_Plusieurs BV,2023-10-11,2023-10-23,2023-10-22,0.0
2023-9784,2023-10-24,2023-10-24,2023-11-03,11.0
Communiqué de presse,2023-10-16,2023-10-16,2023-10-23,8.0
19-2023-10-27-00001_ESOU_DOR ,2023-10-27,2023-10-28,2023-11-01,5.0
	19-2023-10-27-00001_ESOU_VIENNE,2023-10-27,2023-10-28,2023-11-01,5.0
19-2023-10-27-00001_ESUP_VIENNE,2023-10-27,2023-10-28,2023-11-02,6.0
Copie de Copie de 20231011_AP_Plusieurs BV,2023-10-11,2023-10-23,2023-10-31,9.0
DDT42-DT23-0845_20231024,2023-10-24,2023-10-25,2023-11-02,9.0
23EB801,2023-10-25,2023-10-26,2023-10-31,6.0
19-2023-10-28-00002_ESUP_DOR,2023-10-27,2023-10-28,2023-11-01,5.0
AP_2023_DDT_SEB_520_Clain,2023-10-26,2023-10-30,2023-11-02,4.0
2023_AP_DDT_SEB_523_vIENNE,2023-10-26,2023-10-30,2023-11-02,4.0
12-2023-14 LOT,2023-10-26,2023-10-28,2023-11-03,7.0
12-2023-14 AVEYRON,2023-10-26,2023-10-28,2023-11-03,7.0
12-2023-14 TARN,2023-10-26,2023-10-28,2023-11-03,7.0
12-2023-14 ORB et HERAULT,2023-10-26,2023-10-28,2023-11-03,7.0
2023/SEE/0191,2023-10-25,2023-10-27,2023-10-31,5.0
ARP_2023_1397_231026- Chéran AR reste A,2023-10-26,2023-10-26,2023-11-02,8.0
2023_AGOUT_AMONT_NON_REALIMENTE_05,2023-10-26,2023-10-28,2023-10-31,4.0
2023_AFFLUENTS_AGOUT_MOYEN_08,2023-10-26,2023-10-28,2023-10-31,4.0
2023_AFFLUENTS_AGOUT_AVAL_13,2023-10-26,2023-10-28,2023-10-31,4.0
2023_AFFLUENTS_AVEYRON_AVAL_12,2023-10-26,2023-10-28,2023-10-31,4.0
2023_CEROU_14,2023-10-26,2023-10-28,2023-10-31,4.0
2023_CEROU_NON_REALIMENTE_10,2023-10-26,2023-10-28,2023-10-31,4.0
2023_DADOU_NON_REALIMENTE_08,2023-10-26,2023-10-28,2023-10-31,4.0
2023_SOR_NON_REALIMENTE_08,2023-10-26,2023-10-28,2023-10-31,4.0
2023_TARN_MEDIAN_08,2023-10-26,2023-10-28,2023-10-31,4.0
2023_AFFLUENTS_RIVE_DROITE_TARN_MEDIAN_11,2023-10-26,2023-10-28,2023-10-31,4.0
2023_AFFLUENTS_TARN_MOYEN_13,2023-10-26,2023-10-28,2023-10-31,4.0
2023_TESCOU_13,2023-10-26,2023-10-28,2023-10-31,4.0
2023_THORE_ARN_NON-REALIMENTES_12,2023-10-26,2023-10-28,2023-10-31,4.0
2023_VERE_06,2023-10-26,2023-10-28,2023-10-31,4.0
2023_VERE_NON_REALIMENTEE_12,2023-10-26,2023-10-28,2023-10-31,4.0
2023_VIAUR_AVAL_REALIMENTE_07,2023-10-26,2023-10-28,2023-10-31,4.0
2023_VIAUR_AMONT_REALIMENTE_07,2023-10-26,2023-10-28,2023-10-31,4.0
2023_AFFLUENTS_VIAUR_07,2023-10-26,2023-10-28,2023-10-31,4.0
2023_AGROS_16,2023-10-26,2023-10-28,2023-10-31,4.0
2023_ASSOU_12,2023-10-26,2023-10-28,2023-10-31,4.0
2023_BAGAS_14,2023-10-26,2023-10-28,2023-10-31,4.0
2023_BERNAZOBRE_12,2023-10-26,2023-10-28,2023-10-31,4.0
2023_EN_GUIBAUD_14,2023-10-26,2023-10-28,2023-10-31,4.0
2023_DOURDOU_15,2023-10-26,2023-10-28,2023-10-31,4.0
2023_RANCE_14,2023-10-26,2023-10-28,2023-10-31,4.0
2023_DURENQUE_08,2023-10-26,2023-10-28,2023-10-31,4.0
2023_GIROU_12,2023-10-26,2023-10-28,2023-10-31,4.0
90-2023-10-26-00003,2023-10-26,2023-10-27,2023-10-27,1.0
36-2023-10-27-00001,2023-10-27,2023-10-28,2023-10-31,4.0
DDTM-SAFEB-2023-0001_Ariège,2023-10-27,2023-10-27,2023-11-29,34.0
DDTM-SAFEB-2023-0001_Tarn,2023-10-27,2023-10-27,2023-11-30,35.0
DDTM-SAFEB-2023-0001,2023-10-27,2023-10-27,2023-11-29,34.0
2023-1704,2023-10-27,2023-10-27,2023-11-01,6.0
2023-1704_D,2023-10-27,2023-10-27,2023-11-01,6.0
2023-1704_L,2023-10-27,2023-10-27,2023-11-01,6.0
20231027_Charente Boutonne,2023-10-27,2023-10-28,2023-10-31,4.0
20231027_Can,2023-10-27,2023-10-28,2023-10-31,4.0
20231027_DiveduNord,2023-10-27,2023-10-28,2023-10-31,4.0
20231027_TTA,2023-10-27,2023-10-28,2023-10-31,4.0
78-2023-10-27-00001,2023-10-27,2023-10-28,2023-11-23,27.0
30-2023-11-02-00001,2023-11-02,2023-11-02,2023-12-19,48.0
A_LOT_AP_E-2023-313_20231031,2023-10-31,2023-11-01,2023-11-08,8.0
S_LOT_AP_E-2023-313_20231031,2023-10-31,2023-11-01,2023-11-08,8.0
LB_LOT_AP_E-2023-313_20231031,2023-10-31,2023-11-01,2023-11-08,8.0
L_LOT_AP_E-2023-313_20231031,2023-10-31,2023-11-01,2023-11-08,8.0
D_LOT_AP_E-2023-313_20231031,2023-10-31,2023-11-01,2023-11-08,8.0
2023_AP_DDT_SEB_519_Dive du Nord,2023-10-26,2023-10-30,2023-11-02,4.0
2023-10-01,2023-10-30,2023-10-30,2023-12-05,37.0
23-2023-10-31-00004,2023-10-31,2023-10-31,2023-11-20,21.0
DDT-ERC-2023-089-MAC,2023-10-31,2023-10-31,2023-10-31,1.0
Arrêté DDT-SEEB-PPE-Etiage-49 n°2023-17,2023-10-31,2023-11-01,2023-11-11,11.0
DDT-2023-407,2023-10-31,2023-10-31,2023-11-06,7.0
DDT/SEE/2023/0053,2023-10-31,2023-10-31,2023-11-10,11.0
DDTM34-2023-10-14288,2023-10-31,2023-10-31,,
2023-303-005,2023-10-30,2023-10-30,2023-11-16,18.0
134-2023,2023-10-31,2023-10-31,2023-11-16,17.0
19-2023-11-03-00001_ESUP_DOR,2023-11-01,2023-11-02,2023-11-11,10.0
19-2023-11-03-00001_ESOU_DOR,2023-11-01,2023-11-02,2023-11-11,10.0
19-2023-11-03-00001_ESOU_VIENNE,2023-11-01,2023-11-02,2023-11-11,10.0
19-2023-11-03-00001_ESUP_VIENNE,2023-11-01,2023-11-03,2023-11-11,9.0
12-2023-15 AVEYRON,2023-10-31,2023-11-04,2023-11-08,5.0
12-2023-15 LOT,2023-10-31,2023-11-04,2023-11-08,5.0
12-2023-15 TARN,2023-10-31,2023-11-04,2023-11-08,5.0
12-2023-15 ORB et HERAULT,2023-10-31,2023-11-04,2023-11-08,5.0
DDTM34-2023-10-14288,2023-10-31,2023-10-31,2023-11-16,17.0
AP 31 OCTOBRE 2023 PROLONGATION,2023-10-31,2023-11-01,2023-11-30,30.0
DDT60 - 20231030,2023-10-30,2023-10-30,2023-11-15,17.0
70-2023-31-10-00002,2023-10-31,2023-10-31,2023-11-02,3.0
2023_AGOUT_AMONT_NON_REALIMENTE_06,2023-11-03,2023-11-04,2023-11-11,8.0
2023_AFFLUENTS_AGOUT_MOYEN_10,2023-11-03,2023-11-04,2023-11-10,7.0
2023_AFFLUENTS_AVEYRON_AVAL_13,2023-11-03,2023-11-04,2023-11-03,0.0
2023_AFFLUENTS_AVEYRON_AVAL_14,2023-11-03,2023-11-04,2023-11-10,7.0
2023_AFFLUENTS_AVEYRON_AVAL_13,2023-11-03,2023-11-04,2023-11-10,7.0
2023_CEROU_15,2023-11-03,2023-11-04,2023-11-10,7.0
	2023_CEROU_NON_REALIMENTE_11,2023-11-03,2023-11-04,2023-11-10,7.0
2023_DADOU_NON_REALIMENTE_09,2023-11-03,2023-11-04,2023-11-10,7.0
2023_SOR_NON_REALIMENTE_09,2023-11-03,2023-11-04,2023-11-10,7.0
2023_TARN_MEDIAN_09,2023-11-03,2023-11-04,2023-11-10,7.0
2023_AFFLUENTS_RIVE_DROITE_TARN_MEDIAN_12,2023-11-03,2023-11-04,2023-11-10,7.0
	2023_AFFLUENTS_TARN_MOYEN_14,2023-11-03,2023-11-04,2023-11-10,7.0
2023_AFFLUENTS_TARN_AVAL_03,2023-11-03,2023-11-04,2023-11-10,7.0
2023_TESCOU_14,2023-11-03,2023-11-04,2023-11-10,7.0
2023_THORE_ARN_NON_REALIMENTES_13,2023-11-03,2023-11-04,2023-11-10,7.0
2023_VERE_07,2023-11-03,2023-11-04,2023-11-10,7.0
2023_VERE_NON_REALIMENTEE_13,2023-11-03,2023-11-04,2023-11-10,7.0
2023_VIAUR_AVAL_REALIMENTE_08,2023-11-03,2023-11-04,2023-11-10,7.0
2023_VIAUR_AMONT_REALIMENTE_08,2023-11-03,2023-11-04,2023-11-10,7.0
2023_VIAUR_NON_REALIMENTE_02,2023-11-03,2023-11-04,2023-11-10,7.0
2023_AGROS_17,2023-11-03,2023-11-04,2023-11-10,7.0
2023_ASSOU_13,2023-11-03,2023-11-04,2023-11-10,7.0
2023_BAGAS_14,2023-11-03,2023-11-04,2023-11-10,7.0
2023_BERNAZOBRE_13,2023-11-03,2023-11-04,2023-11-10,7.0
2023_EN_GUIBAUD_15,2023-11-03,2023-11-04,2023-11-10,7.0
2023_DOURDOU_DE_CAMARES_AMONT_16,2023-11-03,2023-11-04,2023-11-10,7.0
2023_Rance_15,2023-11-03,2023-11-04,2023-11-10,7.0
2023_DURENQUE_09,2023-11-03,2023-11-04,2023-11-10,7.0
2023_GIROU_13,2023-11-03,2023-11-04,2023-11-10,7.0
2023-1731_D,2023-11-02,2023-11-02,2023-11-30,29.0
2023-1731_L,2023-11-02,2023-11-02,2023-11-30,29.0
2023-1731_C,2023-11-02,2023-11-02,2023-11-30,29.0
74_DDT_2023_1443_ABROG_1397,2023-11-03,2023-11-03,2023-11-03,1.0
DT-23-0856,2023-11-03,2023-11-03,2023-11-14,12.0
70-2023-03-11-00003,2023-11-03,2023-11-03,2023-11-02,0.0
70-2023-11-03-00004,2023-11-03,2023-11-03,2023-11-23,21.0
70-2023-11-03-00003,2023-11-03,2023-11-03,2023-11-23,21.0
20231860,2023-11-02,2023-11-03,2023-11-12,10.0
82-2023-11-02-00001,2023-11-02,2023-11-04,2023-11-30,27.0
DDT-SEF-2023-613,2023-11-03,2023-11-03,2023-11-23,21.0
DDT-2023-421,2023-11-07,2023-11-07,2023-11-07,1.0
2023/ENV/PPE/010,2023-11-09,2023-11-09,2023-11-08,0.0
[AR Isère] N°38-2023-11-09-00005,2023-11-09,2023-11-09,2023-11-20,12.0
2023_AFFLUENTS_AGOUT_MOYEN_11,2023-11-09,2023-11-11,2023-11-11,1.0
2023_DADOU_NON_REALIMENTE_10,2023-11-09,2023-11-11,2023-11-11,1.0
2023_VIAUR_AMONT_REALIMENTE_09,2023-11-09,2023-11-11,2023-11-11,1.0
2023_AFFLUENTS_AGOUT_AVAL_15,2023-11-09,2023-11-11,2023-11-11,1.0
2023_BERNAZOBRE_14,2023-11-09,2023-11-11,2023-11-11,1.0
2023_DOURDOU_17,2023-11-09,2023-11-11,2023-11-11,1.0
2023_SOR_NON_REALIMENTE_10,2023-11-09,2023-11-11,2023-11-11,1.0
2023_CEROU_NON_REALIMENTE_12,2023-11-09,2023-11-11,2023-11-11,1.0
2023_CEROU_16,2023-11-09,2023-11-11,2023-11-11,1.0
2023_BAGAS_15,2023-11-09,2023-11-11,2023-11-11,1.0
2023_ASSOU_14,2023-11-09,2023-11-11,2023-11-11,1.0
2023_VERE_08,2023-11-09,2023-11-11,2023-11-11,1.0
2023_AFFLUENTS_AVEYRON_AVAL_16,2023-11-09,2023-11-11,2023-11-11,1.0
2023_TESCOU_15,2023-11-09,2023-11-11,2023-11-11,1.0
2023_THORE_ARN_NON-REALIMENTES_14,2023-11-09,2023-11-11,2023-11-11,1.0
2023_EN_GUIBAUD_16,2023-11-09,2023-11-11,2023-11-11,1.0
2023_RANCE_16,2023-11-09,2023-11-11,2023-11-11,1.0
2023_VIAUR_AVAL_REALIMENTE_09,2023-11-09,2023-11-11,2023-11-11,1.0
2023_VERE_NON_REALIMENTEE_14,2023-11-09,2023-11-11,2023-11-11,1.0
2023_AGROS_18,2023-11-09,2023-11-11,2023-11-11,1.0
2023_VERE_NON_REALIMENTEE_16,2023-11-09,2023-11-11,2023-11-11,1.0
2023_AFFLUENTS_TARN_MOYEN_15,2023-11-09,2023-11-11,2023-11-11,1.0
2023_TARN_MEDIAN_10,2023-11-09,2023-11-11,2023-11-11,1.0
2023_AFFLUENTS_TARN_AVAL_13,2023-11-09,2023-11-11,2023-11-11,1.0
2023_AFFLUENTS_RIVE_DROITE_TARN_MEDIAN_13,2023-11-09,2023-11-11,2023-11-11,1.0
2023_GIROU_14,2023-11-09,2023-11-11,2023-11-11,1.0
2023_DURENQUE_10,2023-11-09,2023-11-11,2023-11-11,1.0
20231881,2023-11-10,2023-11-13,2023-11-30,18.0
2023/DDT/SEPR/267,2023-11-15,2023-11-15,2023-12-04,20.0
45-20231113-Beauce,2023-11-13,2023-11-17,2023-11-30,14.0
45-20231113-Est et Sud Loiret,2023-11-13,2023-11-17,2023-11-30,14.0
DDT02/2023/ENV/PPE/010,2023-11-09,2023-11-09,2023-11-09,1.0
DDTM34-11-14344,2023-11-17,2023-11-17,2023-11-30,14.0
2023-321-17,2023-11-17,2023-11-17,2023-11-30,14.0
DDT-BIEF-2023-321-0003 du 17 novembre (ACD LB)),2023-11-17,2023-11-18,2024-01-27,71.0
Alerte renforcée Argens,2023-11-14,2023-11-15,2023-12-15,31.0
Alerte Gapeau,2023-11-14,2023-11-15,2023-12-15,31.0
Alerte Fleuves Cotiers Ouest,2023-11-14,2023-11-15,2023-12-15,31.0
Alerte Nappe Giscle Mole,2023-11-14,2023-11-15,2023-12-15,31.0
RAA-2023-10-31-002,2023-10-31,2023-11-21,2023-11-30,10.0
76_Z1_20231122_Vsout,2023-11-22,2023-11-22,2023-12-31,40.0
76_Z8_20231122_Vsout,2023-11-22,2023-11-22,2023-12-31,40.0
76_Z9_20231122_Vsout,2023-11-22,2023-11-22,2023-12-31,40.0
78-2023-11-23-00002,2023-11-23,2023-11-24,2023-12-31,38.0
DDT-SEF-2023-644,2023-11-24,2023-11-24,2023-12-12,19.0
DDTM-SAFEB-2023-0003,2023-11-30,2023-11-30,2023-12-31,32.0
DDTM-SAFEB-2023-0003,2023-11-30,2023-11-30,2023-11-30,1.0
DDTM/SER/2023334-0001,2023-11-30,2023-11-30,2024-02-01,64.0
DDTM34-2023-11-14344,2023-11-17,2023-11-17,2023-12-06,20.0
DDT42_00,2023-11-15,2023-11-15,2023-11-16,2.0
2023/DDT/SEPR/292,2023-12-05,2023-12-05,2023-12-31,27.0
2023-11-01,2023-12-06,2023-12-06,2024-03-27,113.0
DDTM34-2023-11-14401,2023-12-07,2023-12-07,2023-12-20,14.0
AP 30 NOVEMBRE 2023,2023-11-30,2023-11-30,2024-01-15,47.0
[APCS Isère] N°38-2023-11-21-00001,2023-11-21,2023-11-21,2023-12-15,25.0
30-2023-12-20-00001,2023-12-20,2023-12-20,2024-03-31,103.0
DDTM34-2023-12-14430,2023-12-21,2023-12-21,2024-01-31,42.0
Aude DTTM-SAFEB-2023-004,2023-12-20,2023-12-20,2024-01-28,40.0
Aude_DDTM_SAFEB_2024_002,2024-01-29,2024-01-29,2024-02-27,30.0
DDTM34-2024-01-14509,2024-02-01,2024-02-01,2024-02-28,28.0
DDTM/SER/2024030-0003,2024-01-30,2024-01-30,2024-01-29,0.0
DDTM/SER/2024030-0003,2024-01-30,2024-01-30,2024-04-03,65.0
Aude_DDTM_SAFEB_2024_003,2024-02-28,2024-02-28,2024-03-26,28.0
DDTM34-2024-02-14668,2024-02-29,2024-02-29,2024-03-20,21.0
DDTM34-2024-03-14731,2024-03-21,2024-03-21,2024-04-30,41.0
Aude DTTM-SAFEB-2024-006,2024-03-27,2024-03-27,2024-04-30,35.0
2024-01-01,2024-03-27,2024-03-27,2024-10-31,219.0
DDTM/SER/2024095-0001,2024-04-04,2024-04-04,2024-05-31,58.0
R02-2024-04-05-00003,2024-04-05,2024-04-05,2024-10-05,184.0
